"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin","sev"
"demography","IBM",9,1,2,1.5,0.0179608267171205,0.35090998980317,1.26505062365459,45.1132466087816
"demography","IBM",9,2,3,2.5,0.0176974885754997,0.416775117466589,1.37544360297077,24.7999540064077
"demography","IBM",9,3,5,4,0.0352448549859659,0.462984103989355,1.30083797196612,16.2844223294728
"demography","IBM",9,5,7,6,0.0343985100629486,0.508221539222725,1.05214190255695,4.90737827685143
"demography","IBM",9,7,10,8.5,0.0497466746275504,0.501523741170389,0.920269011436891,4.07198677626943
"demography","IBM",9,10,15,12.5,0.0759128847458583,0.455788836237936,0.652874526781113,0.889474832126856
"demography","IBM",9,15,20,17.5,0.0817909583538175,0.327395398175646,0.409473253281282,0.412775456936776
"demography","IBM",9,20,30,25,0.156973674048059,0.228265961452454,0.273576917433723,0.43015238590208
"demography","IBM",9,30,40,35,0.151392607385215,0.189769266252631,0.187101149544673,0
"demography","IBM",9,40,60,50,0.235697903885741,0.181992923565719,0.13049137893144,0
"demography","IBM",9,60,85,72.5,0.124914590847728,0.181173156724,0.110542505013047,0.540550146763067
"demography","IBM",10,0,1,0.5,0.0185845818533752,0.217139079168448,0.909025382022807,43.5461260849249
"demography","IBM",10,1,2,1.5,0.0188184065388136,0.378252993416692,1.42275045778779,43.0050516207897
"demography","IBM",10,2,3,2.5,0.0177514601570958,0.425000520432167,1.40188812790141,36.0919707725295
"demography","IBM",10,3,5,4,0.0342485261700265,0.468153690945678,1.33311573756872,21.660669295799
"demography","IBM",10,5,7,6,0.0315881352310425,0.507055723398095,1.07924052632041,9.60748243015199
"demography","IBM",10,7,10,8.5,0.0501150692757597,0.515120846951774,0.874041178845378,1.3457139012246
"demography","IBM",10,10,15,12.5,0.0876135830431927,0.458872158252141,0.627731030410393,1.53949976802058
"demography","IBM",10,15,20,17.5,0.0788667290753467,0.335866676194035,0.392927803242663,0
"demography","IBM",10,20,30,25,0.154712953176214,0.232365598653344,0.266339517050255,0
"demography","IBM",10,30,40,35,0.153968797569258,0.194312173439289,0.179147876050334,0.219007183435617
"demography","IBM",10,40,60,50,0.23174474511123,0.183105267480066,0.138230789408432,0.436518282342417
"demography","IBM",10,60,85,72.5,0.121987012798645,0.181011488681717,0.105870814810327,0
