"scenario","model","rep","doy","pfpr_2_10","clin_0_5"
"irs","IBM",2,39,0.580834228777962,2.30735959542188
"irs","IBM",2,46,0.583826622963652,2.18533794571581
"irs","IBM",2,53,0.585635900450715,2.62153355057525
"irs","IBM",2,60,0.587150564001962,1.79575826075394
"irs","IBM",2,67,0.585333529671624,1.8712963579466
"irs","IBM",2,74,0.580836852961399,1.84994998332778
"irs","IBM",2,81,0.585703079035105,2.51286678697948
"irs","IBM",2,88,0.58563238104572,2.22575889566441
"irs","IBM",2,95,0.577504169528108,2.05896178900007
"irs","IBM",2,102,0.581772722815962,1.96553581044696
"irs","IBM",2,109,0.581921457251983,2.11594202898551
"irs","IBM",2,116,0.576053995891617,1.96752240415066
"irs","IBM",2,123,0.574723878408758,2.11708369865785
"irs","IBM",2,130,0.573462720046813,1.82635742781797
"irs","IBM",2,137,0.573615444617785,1.90117026314009
"irs","IBM",2,144,0.576416015625,2.34353879426872
"irs","IBM",2,151,0.573611246705067,1.62671348504288
"irs","IBM",2,158,0.575650812292034,1.70134432209687
"irs","IBM",2,165,0.573488303663381,1.57412398921833
"irs","IBM",2,172,0.56828647006956,1.84021242269427
"irs","IBM",2,179,0.577085171028129,2.27528654735572
"irs","IBM",2,186,0.577162460181328,2.00267648042824
"irs","IBM",2,193,0.574211866066184,2.14878244581215
"irs","IBM",2,200,0.57497187026075,1.7113194909578
"irs","IBM",2,207,0.577351848230002,1.85862646566164
"irs","IBM",2,214,0.571750416299344,1.8347855227882
"irs","IBM",2,221,0.571744037687702,2.0837531063201
"irs","IBM",2,228,0.574383608646635,1.68845534995977
"irs","IBM",2,235,0.576610534560407,2.07330927559476
"irs","IBM",2,242,0.58276655086363,1.90498494479759
"irs","IBM",2,249,0.582237002983323,2.00832047238811
"irs","IBM",2,256,0.580804378634609,1.83687848084278
"irs","IBM",2,263,0.581430596978438,2.1041694597131
"irs","IBM",2,270,0.580117244748412,2.2020378066765
"irs","IBM",2,277,0.5823799745771,1.97918061320123
"irs","IBM",2,284,0.58085824729657,1.83122616897451
"irs","IBM",2,291,0.579032336969816,2.05056179775281
"irs","IBM",2,298,0.581368039925629,1.96025778732546
"irs","IBM",2,305,0.582945812325616,1.83959411329884
"irs","IBM",2,312,0.580876961431295,2.03979262052249
"irs","IBM",2,319,0.580078125,1.81922273860039
"irs","IBM",2,326,0.579009088243917,1.86851677219453
"irs","IBM",2,333,0.580536255993737,1.77041228779305
"irs","IBM",2,340,0.581223370390323,2.23369199731002
"irs","IBM",2,347,0.578658027781868,1.83737163568025
"irs","IBM",2,354,0.575474939865495,1.88598845792511
"irs","IBM",2,361,0.574773006134969,2.05813250990132
"irs","IBM",2,365,0.578151837856407,2.40244475787494
"pev","IBM",2,4,0.529513359748044,0.973067195297013
"pev","IBM",2,11,0.522202486678508,1.15039397053786
"pev","IBM",2,18,0.51989847715736,1.07647462277092
"pev","IBM",2,25,0.523160348672208,1.20387548958978
"pev","IBM",2,32,0.52259958495723,1.22684867608725
"pev","IBM",2,39,0.529128916333451,1.32554474441551
"pev","IBM",2,46,0.528717585089141,1.15173549183701
"pev","IBM",2,53,0.527280089077842,1.35352286773795
"pev","IBM",2,60,0.52568449820335,1.48139230927977
"pev","IBM",2,67,0.519931201942533,1.38314730604933
"pev","IBM",2,74,0.520151898734177,1.18106712564544
"pev","IBM",2,81,0.519324406573341,1.45708582834331
"pev","IBM",2,88,0.520976353928299,1.07936180455264
"pev","IBM",2,95,0.521493327900581,1.1793620239241
"pev","IBM",2,102,0.51614707826883,1.45418326693227
"pev","IBM",2,109,0.518942283244343,1.05035971223022
"pev","IBM",2,116,0.517222080895446,1.325
"pev","IBM",2,123,0.514830831849402,1.50082236842105
"pev","IBM",2,130,0.514915495825697,1.17669250291515
"pev","IBM",2,137,0.516065073716319,1.30106937208665
"pev","IBM",2,144,0.516423078881703,1.04791851801217
"pev","IBM",2,151,0.51452747476807,1.0969196093163
"pev","IBM",2,158,0.521329188114775,1.29928806133625
"pev","IBM",2,165,0.527336591325596,0.87553971626345
"pev","IBM",2,172,0.523052706408043,1.12662048151451
"pev","IBM",2,179,0.518939778612776,1.27587388622344
"pev","IBM",2,186,0.516361788617886,1.19729378801339
"pev","IBM",2,193,0.520457433290978,1.17451732164864
"pev","IBM",2,200,0.520647321428571,1.14850536972433
"pev","IBM",2,207,0.51394806248732,1.02563223905147
