"scenario","model","rep","pfpr_2_10","clin_0_5","sev_0_5","clin_all","sev_all","eir_realised"
"eir_50","IBM",5,0.693570048213633,2.32021958420575,43.3729490112833,0.785164159596322,9.98928060281364,50.6485712087698
"eir_120","IBM",5,0.793547440083638,2.88944722535455,38.6895284910308,0.837963384978196,8.68686025893983,122.731095527929
"seasonal","IBM",5,0.498027456651921,1.57506894440903,43.3040306447643,0.733747580272069,10.6062959318409,19.1643223379624
"eir_1","IBM",6,0.107018146311739,0.159387137687083,11.1492480549585,0.198457644824032,4.72917490623433,0.953353847852082
"eir_3","IBM",6,0.241837350752391,0.420182980751959,20.1738265327272,0.403173552940666,6.78110388792793,3.13703207010354
"eir_10","IBM",6,0.431333164914215,1.00911227616685,33.6053726904449,0.577897605530062,8.76773092154544,9.96207147162015
"eir_50","IBM",6,0.696370571309446,2.36504391532123,45.0499609588658,0.800690511136842,10.3637317447026,50.9237790115665
"eir_120","IBM",6,0.780967193286985,2.80938980939286,37.0976381744708,0.795155940177828,8.05391118981552,119.237252499163
"seasonal","IBM",6,0.485662436227502,1.52286095448546,43.0550284948602,0.709203438735007,10.3109232663216,18.5973336905692
"eir_1","IBM",7,0.107745864612379,0.148738859529481,9.69696034787363,0.207161703364386,4.66323510407282,0.973925111576837
"eir_3","IBM",7,0.242516214459794,0.422698503307129,20.4887417710391,0.390984429606619,6.61547132461599,3.06203668833107
"eir_10","IBM",7,0.435725803486879,1.01140199892407,33.5357960597694,0.581965721577048,8.84007073898369,9.79316391089375
"eir_50","IBM",7,0.688860611728083,2.26874464967383,40.5327095328133,0.787128411163253,9.39454199171828,50.4406113857164
"eir_120","IBM",7,0.786842726215556,2.84345369836116,44.32091216769,0.82347843100512,9.85719875882518,122.46873866206
"seasonal","IBM",7,0.503337010846869,1.63838595312251,45.9125430241625,0.744750896390085,10.830911280234,19.0789739871925
"eir_1","IBM",8,0.115423587716177,0.155092435297872,11.3022827342579,0.210039991985235,5.03451562764226,1.01388905069483
"eir_3","IBM",8,0.225314424539397,0.377802591233761,18.1138228673721,0.367775880967485,6.0720089806727,2.93999885391477
"eir_10","IBM",8,0.42296169111281,1.01908516194741,31.8917120381836,0.571828988077263,8.05298422359717,9.87908595604262
"eir_50","IBM",8,0.677853989673438,2.22755247776983,41.488501398713,0.765079829795498,9.53161395253208,48.6166815276202
"eir_120","IBM",8,0.78185871005803,2.83887277175041,37.8752754264418,0.801793415068513,8.59544029554185,120.281784888325
"seasonal","IBM",8,0.484889914578525,1.50819518776855,37.5280058959337,0.714621981386012,9.05263840547167,18.5003083271432
"eir_1","IBM",9,0.118179859743727,0.159420498535669,10.9890253735876,0.21781783921711,4.73006550586978,1.03186991666641
"eir_3","IBM",9,0.243329221925108,0.441285797603522,23.906787516823,0.393381922471351,7.34071583343779,3.06649376077656
"eir_10","IBM",9,0.434387408383885,1.03227788763457,32.1552434077648,0.587247005135522,8.41078449580691,10.0845470963181
"eir_50","IBM",9,0.680486835927625,2.23260944955335,40.0628842714154,0.780090403089155,9.34260055210655,49.6885096032536
"eir_120","IBM",9,0.778515467318861,2.79226106347025,41.5756024953467,0.807272676547823,9.61357917714627,120.614436031542
"seasonal","IBM",9,0.493276979438078,1.49989757456572,37.3852835136021,0.698916990661096,8.81988237339226,18.9003475944821
"eir_1","IBM",10,0.116820258048535,0.165715523419651,8.56870511340634,0.214654952701704,4.22998499224503,1.05607384930857
"eir_3","IBM",10,0.244472451186709,0.429799188265714,20.1618383177513,0.38561476602245,6.41069025244041,3.1055028284022
"eir_10","IBM",10,0.42486413115985,1.05286975650682,32.4833263202643,0.600208358319654,8.29193268666897,10.0860902409049
"eir_50","IBM",10,0.675257936577247,2.27350942933461,39.8750700604269,0.785051339143665,9.1300651721856,49.0671342955176
"eir_120","IBM",10,0.788150486933406,2.85502637564032,38.21140692404,0.833958860755711,8.62588752019228,123.37232789706
"seasonal","IBM",10,0.490073563340451,1.48537201465403,40.2301349715862,0.706467824484773,9.89685669213639,18.6454729144005
"eir_1","blink",0,0.114296331608187,0.159080423010694,10.8315110196194,0.212590675114289,4.69323049208853,1.0008364769245
