"doy","pfpr","model"
240,0.491597179801417,"ODE"
241,0.493868677372815,"ODE"
242,0.496164650745189,"ODE"
243,0.498485484879109,"ODE"
244,0.500831459298917,"ODE"
245,0.503202745495893,"ODE"
246,0.505599404901002,"ODE"
247,0.508021387434762,"ODE"
248,0.510468530637135,"ODE"
249,0.512940559375424,"ODE"
250,0.515437086123454,"ODE"
251,0.517957611800526,"ODE"
252,0.520501527154067,"ODE"
253,0.523068114665512,"ODE"
254,0.525656550954989,"ODE"
255,0.528265909656409,"ODE"
256,0.530895164731613,"ODE"
257,0.533543194189021,"ODE"
258,0.536208784170135,"ODE"
259,0.538890633365295,"ODE"
260,0.541587357718857,"ODE"
261,0.544297495383189,"ODE"
262,0.547019511880641,"ODE"
263,0.549751805433056,"ODE"
264,0.552492712419025,"ODE"
265,0.555240512920386,"ODE"
266,0.557993436321027,"ODE"
267,0.560749666923055,"ODE"
268,0.563507349547513,"ODE"
269,0.566264595089271,"ODE"
270,0.569019485998332,"ODE"
271,0.571770081662375,"ODE"
272,0.574514423668078,"ODE"
273,0.577250540921404,"ODE"
274,0.57997645460962,"ODE"
275,0.582690182990384,"ODE"
276,0.585389745995327,"ODE"
277,0.588073169638094,"ODE"
278,0.590738490218354,"ODE"
279,0.593383758315559,"ODE"
280,0.596007042567274,"ODE"
281,0.598606433228879,"ODE"
282,0.601180045512146,"ODE"
283,0.603726022701568,"ODE"
284,0.606242539048045,"ODE"
285,0.608727802440398,"ODE"
286,0.611180056855695,"ODE"
287,0.613597584590057,"ODE"
288,0.615978708271994,"ODE"
289,0.618321792660839,"ODE"
290,0.620625246233184,"ODE"
291,0.622887522560611,"ODE"
292,0.625107121482447,"ODE"
293,0.627282590077611,"ODE"
294,0.629412523439989,"ODE"
295,0.631495565262284,"ODE"
296,0.633530408233605,"ODE"
297,0.635515794256632,"ODE"
298,0.637450514490526,"ODE"
299,0.639333409226366,"ODE"
300,0.641163367602238,"ODE"
301,0.642939327165724,"ODE"
302,0.644660273291818,"ODE"
303,0.646325238464902,"ODE"
304,0.647933301433747,"ODE"
305,0.649483586248865,"ODE"
306,0.650975261191905,"ODE"
307,0.652407537607034,"ODE"
308,0.653779668644515,"ODE"
309,0.65509094792679,"ODE"
310,0.656340708147516,"ODE"
311,0.657528319614075,"ODE"
312,0.658653188743941,"ODE"
313,0.659714756525339,"ODE"
314,0.660712496952352,"ODE"
315,0.661645915444502,"ODE"
316,0.662514547260549,"ODE"
317,0.663317955915866,"ODE"
318,0.66405573161252,"ODE"
319,0.664727489690645,"ODE"
320,0.665332869109343,"ODE"
321,0.665871530964852,"ODE"
322,0.666343157053215,"ODE"
323,0.666747448484202,"ODE"
324,0.667084124352674,"ODE"
325,0.667352920473058,"ODE"
326,0.667553588182063,"ODE"
327,0.667685893214199,"ODE"
328,0.66774961465411,"ODE"
329,0.667744543969184,"ODE"
330,0.667670484125329,"ODE"
331,0.667527248788234,"ODE"
332,0.667314661611872,"ODE"
333,0.66703255561537,"ODE"
334,0.666680772648769,"ODE"
335,0.666259162947506,"ODE"
336,0.665767584774726,"ODE"
337,0.665205904149647,"ODE"
338,0.664573994659306,"ODE"
339,0.663871737349734,"ODE"
340,0.663099020691174,"ODE"
341,0.662255740609972,"ODE"
342,0.661341800577329,"ODE"
343,0.660357111743363,"ODE"
344,0.659301593112309,"ODE"
345,0.658175171799144,"ODE"
346,0.656977783552439,"ODE"
347,0.655709374057448,"ODE"
348,0.654369902084215,"ODE"
349,0.652959346206424,"ODE"
350,0.651477717285315,"ODE"
351,0.649925078803138,"ODE"
352,0.648301576192805,"ODE"
353,0.646607474626204,"ODE"
354,0.644843202725011,"ODE"
355,0.643009397952016,"ODE"
356,0.641106948550492,"ODE"
357,0.639137027060255,"ODE"
358,0.637101111551336,"ODE"
359,0.63500099242919,"ODE"
360,0.632838764537649,"ODE"
361,0.630616805929829,"ODE"
362,0.62833774584798,"ODE"
363,0.626004425067102,"ODE"
364,0.623619851860098,"ODE"
365,0.621187156558813,"ODE"
